"date","Communication.Status","Detector.Inlet.Flow..L.min.","Detector.Counting.Flow..L.min.","Impactor.Flow..L.min.","Impactor.D50..nm.","Sheath.Flow..L.min.","Sheath.Temp..C.","Sheath.Pressure..kPa.","Sheath.Relative.Humidity....","Mean.Free.Path..m.","Gas.Viscosity..Pa.s.","Low.Voltage..V.","High.Voltage..V.","Lower.Size..nm.","Upper.Size..nm.","Wide.Range.Scan.Mode","DMA.V.Ramping.Up..TUP...s.","DMA.V.Ramping.Down..TDOWN...s.","DMA.Column.transit.time.Tf..s.","DMA.Exit.to.Optical.Detector.Td..s.","DMA.at.Low.Voltage..TLOW...s.","DMA.at.High.Voltage..THIGH...s.","Adjustment..s.","Dilution.Factor","Aerosol.Density..g.cm..","Median..nm.","Mean..nm.","Geo..Mean..nm.","Mode..nm.","Geo..Std..Dev","Total.Concentration....cm..","Aerosol.Humidity....","Aerosol.Temperature..C.","Reserved.1","1.04","1.11","1.2","1.29","1.38","1.49","1.6","1.72","1.84","1.98","2.13","2.29","2.46","2.64","2.84","3.05","3.28","3.52","3.79","4.07","4.37","4.7","5.05","5.42","5.83","6.26","6.73","7.23","7.77","8.35","8.98","9.65","10.37","11.14","11.97","12.86","13.82","14.86","15.96","17.15","18.43","19.81","21.29","22.88","24.58","26.42","28.39","30.51","32.78","35.23","37.86","40.68","43.71","46.98","50.48","54.25","58.29","62.64","67.32","72.34","77.74","83.54","89.77","96.47","103.66","111.4","119.71","128.64","138.24","148.55","159.63","171.54","184.34","198.1","212.88","228.76","245.82","264.16","283.87","305.05","327.81","352.27","378.55","406.79","437.14","469.76","504.81","542.47","582.94","626.43","673.17","723.39","777.37","835.36","897.69","964.66","Flag"
2026-09-03,0,1,1,1,738.158333333333,5,20.7916666666667,97.7083333333333,55.1666666666667,0.0000000691126333333333,0.00001821885,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,14.2028333333333,19.5196666666667,16.2368333333333,9.647,1.6765,6765.73833333333,50.9166666666667,21.55,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29947.2533333333,23151.5173333333,18526.8106666667,14963.4906666667,12674.424,10960.3493333333,10319.248,9890.81866666667,9713.64533333333,9638.76,9377.77866666667,8953.592,7903.176,6763.808,5433.40533333333,4296.69066666667,3424.088,2910.88,2371.592,2039.44266666667,1712.696,1481.62666666667,1271.22933333333,1082.71733333333,941.389333333333,795.16,659.442666666667,580,494.557333333333,442.797333333333,396.421333333333,369.456,359.066666666667,356.842666666667,346.933333333333,329.064,305.466666666667,272.189333333333,236.512,199.997333333333,157.928,111.778666666667,83.9093333333333,60.36,46.9813333333333,33.4693333333333,25.032,21.68,17.8053333333333,12.9706666666667,11.44,8.20266666666667,5.77333333333333,4.296,2.16533333333333,1.704,0.546666666666667,1.53866666666667,0.869333333333333,0.893333333333333,0,0,0,0,0,1
2026-09-03 01:00:00,0,1,1,1,737.65,5,20.1166666666667,97.7,54.5833333333333,0.0000000689164583333333,0.0000181865,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,20.7880833333333,25.9446666666667,21.1734166666667,18.2701666666667,1.74666666666667,4376.51833333333,50.25,21.15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800.92,6947.89066666667,6638.02133333333,6079.896,5816.50933333333,5703.232,5745.04533333333,5765.352,6111.43466666667,6508.064,6960.808,7362.03733333333,7622.312,7598.51466666667,7397.17866666667,6934.95466666667,6218.55466666667,5535.912,4707.00266666667,3769.568,2919.07466666667,2123.768,1455.03733333333,993.202666666667,656.786666666667,473.650666666667,357.634666666667,299.485333333333,248.642666666667,234.578666666667,218.277333333333,221.346666666667,220.477333333333,224.592,218.658666666667,230.56,213.402666666667,203.304,193.629333333333,176.370666666667,161.829333333333,136.210666666667,122.888,111.008,97.2773333333333,85.9173333333333,65.6053333333333,50.7733333333333,39.264,26.4053333333333,16.648,11.936,5.94666666666667,5.16533333333333,3.17333333333333,1.83466666666667,0.408,0.421333333333333,0.146666666666667,0,0,0,0,0,0,1
2026-09-03 02:00:00,0,1,1,1,737.733333333333,5,20.2166666666667,97.7083333333333,53.5,0.000000068940525,0.0000181913,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,21.3145833333333,28.06125,22.1985833333333,20.46125,1.79791666666667,4206.785,49.0833333333333,21.05,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5609.41066666667,5112.13066666667,5004.15733333333,4958.04533333333,4966.60266666667,4980.21333333333,5257.48533333333,5496.36533333333,6036.03466666667,6646.86666666667,7144.82666666667,7472.46133333333,7604.17866666667,7671.97866666667,7583.616,7311.46933333333,6824.392,6020.38666666667,5038.048,4126.936,3233.848,2292.79466666667,1533.08266666667,969.688,591.842666666667,395.978666666667,267.581333333333,221.602666666667,198.429333333333,200.229333333333,200.322666666667,205.392,230.757333333333,232.328,246.232,245.688,257.8,253.485333333333,240.272,236.005333333333,219.92,214.605333333333,198.330666666667,187.290666666667,163.381333333333,148.482666666667,112.84,82.1493333333333,60.128,39.8053333333333,27.2986666666667,18.8373333333333,9.25866666666667,6.75466666666667,2.8,2.89333333333333,1.08533333333333,1.12266666666667,0.810666666666667,0.370666666666667,0,0,0,0,0,1
2026-09-03 03:00:00,0,1,1,1,737.766666666667,5,20.2833333333333,97.7,52.3916666666667,0.0000000689663416666667,0.0000181945,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,22.29925,26.6111666666667,22.3398333333333,24.2185833333333,1.67966666666667,5704.34,48.0833333333333,21.15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6418.22933333333,6348.83466666667,5929.592,5896.24,5939.83466666667,6445.576,7121.97866666667,7632.55466666667,8341.85066666667,9150.04,9739.136,10593.9973333333,11010.5573333333,11197.0213333333,10991.64,10737.048,9956.952,8945.936,7564.53866666667,6038.02133333333,4468.744,3045.41333333333,1953.89866666667,1167.21866666667,689.144,395.2,261.365333333333,205.250666666667,181.752,171.602666666667,166.296,175.834666666667,182.757333333333,189.693333333333,206.224,224.44,249.573333333333,275.901333333333,280.642666666667,291.938666666667,288.84,268.202666666667,251.645333333333,213.424,181.509333333333,158.858666666667,118.664,86.7306666666667,65.6426666666667,46.392,27.7093333333333,19.8186666666667,9.864,7.48533333333333,4.33066666666667,4.21066666666667,1.77066666666667,0.421333333333333,0.434666666666667,0.448,0,0,0,0,0,1
2026-09-03 04:00:00,0,1,1,1,738.175,5,20.7833333333333,97.725,52.25,0.000000069098375,0.00001821845,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,17.55875,23.2225833333333,18.78575,16.0555,1.72525,5946.13416666667,48.5,21.3583333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15358.68,13825.1626666667,12357.9466666667,11436.784,10467,9778.90666666667,9380.384,9069.424,8983.432,8580.95733333333,8420.52533333333,7976.816,7931.248,7808.08266666667,7542.16533333333,7016.55466666667,6244.46133333333,5391.40266666667,4574.22133333333,3663.89333333333,2832.39466666667,2140.56266666667,1504.80533333333,1065.98133333333,733.442666666667,524.245333333333,409.453333333333,330.218666666667,289.28,264.506666666667,231.376,224.824,228.757333333333,228.749333333333,229.488,252.96,258.744,273.690666666667,311.450666666667,298.482666666667,297.805333333333,273.666666666667,255.816,224.410666666667,190.514666666667,164.416,129.429333333333,97.96,71.4213333333333,44.5493333333333,30.0853333333333,21.4853333333333,13.4826666666667,7.12,4.96,2.76533333333333,1.50933333333333,1.69066666666667,0.872,0.890666666666667,0,0,0,0,0,1
2026-09-03 05:00:00,0,1,1,1,738.033333333333,5,20.55,97.775,51.1083333333333,0.0000000689931916666667,0.0000182072916666667,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,15.9461666666667,22.3654166666667,17.7895833333333,9.70691666666667,1.74583333333333,7540.48666666667,47.5,21.6083333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19855.8666666667,18216.0906666667,16941.344,15528.6693333333,14473.1973333333,13490.3546666667,12797.5413333333,12366.8426666667,11619.5253333333,10868.6346666667,10372.5226666667,9860.29066666667,9335.42666666667,8786.93066666667,8340.136,7800.81066666667,6943.53866666667,5993.54666666667,5080.69866666667,4240.98666666667,3308.79466666667,2393.52,1728.84266666667,1226.44,912.674666666667,708.76,624.997333333333,575.749333333333,546,494.784,434.624,389.613333333333,380.962666666667,347.573333333333,332.274666666667,351.037333333333,367.528,375.021333333333,389.898666666667,374.274666666667,342.981333333333,292.032,271.733333333333,253.946666666667,218.616,186.957333333333,162.738666666667,118.557333333333,92.3573333333333,61.2666666666667,43.376,25.4426666666667,17.2346666666667,11.4346666666667,6.488,4.73333333333333,3.408,2.11466666666667,2.76,1.2,0,0,0,0,0,1
2026-09-03 06:00:00,0,1,1,1,737.883333333333,5,20.3333333333333,97.7833333333333,52.2416666666667,0.0000000689225333333333,0.0000181969,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,16.3519166666667,23.0511666666667,18.2255833333333,10.1195,1.76025,9800.84916666667,48.3333333333333,21.225,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24607.88,23886.216,23184.3093333333,21273.9146666667,20643.2213333333,19758.2666666667,18544.5493333333,17729.5733333333,16617.48,15423.744,14146.152,12586.4106666667,11164.0026666667,10048.296,9123.42666666667,8482.75466666667,7646.792,6684.43733333333,5753.58666666667,4619.05066666667,3574.10933333333,2688.232,2001.13866666667,1528.4,1151.72266666667,882.192,709.722666666667,635.096,568.773333333333,527.048,518.032,481.797333333333,488.474666666667,463.128,447.586666666667,447.530666666667,446.994666666667,452.568,442.725333333333,446.704,416.688,382.568,350.744,331.837333333333,306.205333333333,264.949333333333,216.344,170.698666666667,118.818666666667,79.304,55.392,35.032,26.0293333333333,16.8906666666667,9.24533333333333,7.664,5.312,4.36,1.02133333333333,1.78133333333333,0,0,0,0,0,1
2026-09-03 07:00:00,0,1,1,1,738.008333333333,5,20.4,97.8666666666667,52.2083333333333,0.0000000688837666666667,0.0000182001,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,19.83325,26.8615833333333,21.1383333333333,16.1755833333333,1.81016666666667,9087.79,48.0833333333333,21.2583333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16958.6453333333,15000.848,13718.8106666667,13094.9226666667,12718.8293333333,12535.4906666667,12360.7146666667,12778.6693333333,12827.1333333333,12842.064,13362.984,14035.7706666667,14295.6346666667,14571.032,14379.84,13569.7813333333,12184.8106666667,10352.7946666667,8527.86133333333,6866.11466666667,5474.61066666667,4355.57333333333,3363.45333333333,2569.38133333333,1970.68,1505.592,1268.94666666667,1049.74933333333,966.349333333333,887.632,780.373333333333,670.506666666667,637.336,639.477333333333,666.248,686.338666666667,727.872,754.245333333333,689.266666666667,604.530666666667,550.109333333333,491.477333333333,463.696,406.576,379.384,330.826666666667,272.096,201.872,144.784,101.92,70.0133333333333,48.5893333333333,30.64,24.4026666666667,15.688,8.512,6.49866666666667,4.36266666666667,5.376,1.48,0,0,0,0,0,1
2026-09-03 08:00:00,0,1,1,1,737.95,5,20.325,97.9,51.9833333333333,0.0000000688378916666667,0.0000181965,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,19.3488333333333,28.1055,21.1920833333333,12.6811666666667,1.88841666666667,6909.43833333333,48.1666666666667,21.2166666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13305.7386666667,11873.5706666667,10940.9493333333,10394.8773333333,10306.16,10118.4853333333,9835.33333333333,9991.59466666667,10172,10414.5146666667,10621.8026666667,10773.1333333333,10635.6853333333,10377.2106666667,10019.656,9552.77333333333,8524.2,7121.06133333333,5871.06933333333,4713.56533333333,3669.39466666667,2713.64533333333,2105.33333333333,1659.31466666667,1351.44266666667,1096.624,924.418666666667,800.597333333333,767.72,695.408,683.258666666667,683.146666666667,705.610666666667,698.389333333333,645.898666666667,626.773333333333,581.674666666667,569.274666666667,543.28,530.592,491.021333333333,468.344,454.304,436.088,402.242666666667,333.128,261.584,196.277333333333,143.008,100.944,66.056,47.4426666666667,28.792,21.0426666666667,12.344,10.0346666666667,5.00266666666667,4.78133333333333,2.61866666666667,1.896,0,0,0,0,0,1
2026-09-03 09:00:00,0,1,1,1,737.525,5,19.7666666666667,97.9,52.4916666666667,0.00000006867115,0.0000181697,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,19.9810833333333,28.48525,21.385,13.885,1.89675,5533.83666666667,48.25,20.8916666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12670.2666666667,10050.7706666667,9393.83733333333,8585.34933333333,7921.368,7457.856,7334.81333333333,7284.19466666667,7156.56266666667,7271.52533333333,7482.696,7506.94933333333,7709.90933333333,7747.20533333333,7778.10133333333,7933.91733333333,8230.24,7228.66133333333,5723.024,4370.23466666667,3211.75733333333,2327.54666666667,1718.608,1316.704,1037.42133333333,892.04,776.365333333333,669.84,559.514666666667,481.362666666667,437.938666666667,426.869333333333,423.525333333333,437.08,435.528,439.461333333333,422.768,400.346666666667,415.808,403.949333333333,389.037333333333,378.752,378.874666666667,376.152,343.490666666667,299.808,232.938666666667,177.709333333333,129.944,99.0106666666667,68.3573333333333,47.4746666666667,28.1466666666667,23.4586666666667,14.784,8.952,4.90133333333333,3.79466666666667,3.35466666666667,1.896,0,0,0,0,0,1
