"","date (UTC)","O3 (ppb)","Flag"
"1","2026-09-15 07:00:00",19.61,0
"2","2026-09-15 07:01:00",19.74,0
"3","2026-09-15 07:02:00",20.24,0
"4","2026-09-15 07:03:00",19.42,0
"5","2026-09-15 07:04:00",20.75,0
"6","2026-09-15 07:05:00",20.08,0
"7","2026-09-15 07:06:00",18.53,0
"8","2026-09-15 07:07:00",17.36,0
"9","2026-09-15 07:08:00",18.95,0
"10","2026-09-15 07:09:00",17.37,0
"11","2026-09-15 07:10:00",16.86,0
"12","2026-09-15 07:11:00",16.7,0
"13","2026-09-15 07:12:00",17.92,0
"14","2026-09-15 07:13:00",20.01,0
"15","2026-09-15 07:14:00",18.88,0
"16","2026-09-15 07:15:00",18.95,0
"17","2026-09-15 07:16:00",17.56,0
"18","2026-09-15 07:17:00",15.93,0
"19","2026-09-15 07:18:00",18.83,0
"20","2026-09-15 07:19:00",18.71,0
"21","2026-09-15 07:20:00",19.23,0
"22","2026-09-15 07:21:00",18.25,0
"23","2026-09-15 07:22:00",18.87,0
"24","2026-09-15 07:23:00",17.38,0
"25","2026-09-15 07:24:00",17.96,0
"26","2026-09-15 07:25:00",18.45,0
"27","2026-09-15 07:26:00",17.93,0
"28","2026-09-15 07:27:00",18.55,0
"29","2026-09-15 07:28:00",19.28,0
"30","2026-09-15 07:29:00",18.98,0
"31","2026-09-15 07:30:00",18.26,0
"32","2026-09-15 07:31:00",17.5,0
"33","2026-09-15 07:32:00",18.46,0
"34","2026-09-15 07:33:00",18.46,0
"35","2026-09-15 07:34:00",17.82,0
"36","2026-09-15 07:35:00",17.67,0
"37","2026-09-15 07:36:00",16.88,0
"38","2026-09-15 07:37:00",17.73,0
"39","2026-09-15 07:38:00",17.74,0
"40","2026-09-15 07:39:00",18.67,0
"41","2026-09-15 07:40:00",16.32,0
"42","2026-09-15 07:41:00",17.44,0
"43","2026-09-15 07:42:00",18.15,0
"44","2026-09-15 07:43:00",18.06,0
"45","2026-09-15 07:44:00",17.52,0
"46","2026-09-15 07:45:00",17.31,0
"47","2026-09-15 07:46:00",16.46,0
"48","2026-09-15 07:47:00",16.47,0
"49","2026-09-15 07:48:00",15.22,0
"50","2026-09-15 07:49:00",16.01,0
"51","2026-09-15 07:50:00",17.01,0
"52","2026-09-15 07:51:00",16.34,0
"53","2026-09-15 07:52:00",14.41,0
"54","2026-09-15 07:53:00",14,0
"55","2026-09-15 07:54:00",17.72,0
"56","2026-09-15 07:55:00",15.96,0
"57","2026-09-15 07:56:00",13,0
"58","2026-09-15 07:57:00",13.93,0
"59","2026-09-15 07:58:00",14.81,0
"60","2026-09-15 07:59:00",15.06,0
